X,Y,prediction
382565,6675968,0
382589,6675855,0
382587,6675852,0
382547,6675979,0
382585,6675850,0
382530,6675986,0
382573,6675842,0
382572,6675841,0
382587,6675811,0
382567,6675840,0
382525,6675839,0
382525,6675839,0
382423,6675915,0
382402,6675914,0
382361,6675920,0
382358,6675920,0
382317,6675926,0
382288,6675915,0
382169,6675919,0
382061,6675910,0
381898,6675883,0
381217,6675996,0
380067,6676482,0
379590,6676662,0
379341,6676717,0
378802,6676667,0
378203,6676643,0
377438,6676556,0
377060,6676472,0
376590,6676441,0
376388,6676451,0
376070,6676456,0
374992,6676296,0
374605,6676127,0
372244,6676589,0
370727,6677528,0
370720,6677552,0
370187,6677826,0
367081,6679135,0
366938,6679215,0
366747,6679340,0
366409,6679655,0
365825,6680649,0
364906,6681270,0
364875,6681278,0
362926,6682223,0
362019,6682502,0
361956,6682534,0
361748,6682692,0
360823,6683566,0
359784,6684213,0
358817,6685296,0
358422,6685545,0
357343,6686033,0
357115,6686259,0
356481,6686480,0
356379,6686522,0
356336,6686525,0
356200,6686602,0
356028,6686669,0
355996,6686680,0
355975,6686687,0
355827,6686776,0
355043,6686954,0
354083,6687042,0
354053,6687035,0
353487,6687108,0
352927,6687018,0
352743,6686956,0
352163,6686910,0
351599,6687225,0
350663,6687758,0
350564,6687815,0
350469,6687881,0
350448,6687870,0
349069,6688266,0
347686,6688091,0
347651,6688082,0
347440,6688029,0
347221,6688059,0
345675,6688332,0
345263,6688294,0
343354,6687147,0
342097,6686590,0
341226,6686466,0
333197,6690183,0
324372,6697702,0
319901,6697922,0
318379,6697253,0
313071,6698885,0
301751,6698691,0
297565,6699078,0
291738,6702553,0
290263,6703381,0
289927,6703552,0
289202,6703921,0
288547,6704183,0
287706,6704281,0
283667,6704996,0
283281,6705137,0
282633,6705375,0
282328,6705504,0
281706,6705627,0
277812,6706730,0
276865,6706702,0
276391,6706607,0
274164,6706269,0
272971,6706211,0
271857,6706310,0
267136,6706094,0
266550,6706174,0
264757,6706674,0
263969,6706592,0
260819,6707404,0
260787,6707440,0
259442,6708301,0
258407,6708727,0
258373,6708732,0
257033,6708902,0
256254,6709146,0
255049,6709272,0
255000,6709278,0
253987,6709527,0
252614,6709465,0
251427,6709057,0
250417,6708679,0
248080,6707426,0
247525,6707405,0
247109,6707468,0
246915,6707494,0
246644,6707504,0
246595,6707508,0
245687,6707494,0
245523,6707471,0
245242,6707430,0
244819,6707414,0
244626,6707402,0
243681,6707602,0
243068,6708069,0
243046,6708069,0
242478,6709254,0
242293,6709640,0
241526,6710691,0
241497,6710738,0
241477,6710746,0
241464,6710768,0
241349,6710962,0
241242,6711194,0
241200,6711284,0
241125,6711439,0
354053,6687679,0
353891,6687901,0
353810,6688010,0
353584,6688732,0
353353,6689804,0
353203,6690145,0
353153,6690217,0
353055,6690392,0
352870,6690809,0
352743,6692238,0
352612,6693826,0
352542,6694167,0
352419,6694501,0
352259,6694842,0
352033,6695767,0
352031,6695783,0
352061,6696225,0
352164,6697137,0
352163,6697434,0
352513,6698012,0
352852,6698378,0
353069,6698881,0
353209,6699804,0
353317,6700263,0
353510,6701224,0
353470,6701316,0
353229,6702166,0
353229,6702166,0
352785,6704376,0
352382,6706060,0
351749,6707222,0
351531,6707731,0
351158,6708384,0
350997,6708664,0
350712,6709209,0
350634,6709368,0
350290,6710060,0
350224,6710193,0
350100,6710445,0
350075,6710494,0
349983,6710680,0
349693,6711268,0
349327,6711761,0
349315,6711772,0
348503,6713715,0
348247,6714500,0
