dist,ind
4.9784131760720725E14,0
3.8239937742125056E14,1
2.5314796174090334E14,2
2.0983340586473228E14,3
1.4148945808976962E14,4
1.1990263834158247E14,5
1.212094342172345E14,6
9.372329874074234E13,7
8.09169038666254E13,8
7.123262539059394E13,9
7.587177961262928E13,10
5.900195186802739E13,11
5.367618812094244E13,12
4.768184849632945E13,13
4.432764678112667E13,14
5.7097154903589E13,15
3.639058611005898E13,16
3.978343410641812E13,17
3.4456262831868426E13,18
3.364645917396217E13,19
2.9770863163844062E13,20
3.1021205470867184E13,21
2.695116204618865E13,22
2.6948838835653668E13,23
2.5345218071931348E13,24
2.2641548226412508E13,25
2.402795534146483E13,26
2.1673897633349918E13,27
2.1872397943860188E13,28
1.928870012677704E13,29
2.0893397743794844E13,30
1.849643202687246E13,31
1.855097265071966E13,32
1.6492459447223156E13,33
1.6014867076573203E13,34
1.4823916935558035E13,35
1.5413946366016367E13,36
1.6779418790218703E13,37
1.4287074557004963E13,38
1.3895160022017895E13,39
1.3530540981017389E13,40
1.3531483501718963E13,41
1.3256393172498225E13,42
1.2963758075340277E13,43
1.2213271657148318E13,44
1.174550896308339E13,45
1.1378202209665293E13,46
1.1054568528208432E13,47
1.0559911712940545E13,48
1.051098588066878E13,49
1.1025558608459244E13,50
1.074711147151033E13,51
9.84906176743178E12,52
9.670704729749006E12,53
9.848281534468912E12,54
9.166973709521502E12,55
8.997440835615188E12,56
9.21382571808722E12,57
9.200934894303354E12,58
8.82967176392684E12,59
8.471141504560249E12,60
8.265515433819492E12,61
9.038520501251506E12,62
8.038003993054537E12,63
7.89507180903053E12,64
8.186671083650758E12,65
7.567198244647509E12,66
7.599225611380097E12,67
7.657382096080607E12,68
7.356477704619826E12,69
7.39649981653941E12,70
7.084184020069082E12,71
7.433176436530379E12,72
6.699318938073717E12,73
6.79349210895946E12,74
6.621769464123226E12,75
6.702966179479605E12,76
6.734615955407785E12,77
6.549407663775226E12,78
6.252481636158929E12,79
6.006133129365875E12,80
6.090640823429901E12,81
6.007538797150689E12,82
5.812512670751471E12,83
5.72489975867637E12,84
5.819892415872493E12,85
5.890260287093894E12,86
5.594433467150344E12,87
5.348733917718115E12,88
5.458731966297766E12,89
5.450855358612187E12,90
5.381095239347573E12,91
5.330145813324146E12,92
5.329443480595274E12,93
5.221656573697626E12,94
5.157903506009466E12,95
5.082223461617754E12,96
4.774800349426968E12,97
4.836238431687307E12,98
4.843811181063962E12,99
4.719418104050053E12,100
4.886446949397083E12,101
4.664736650647734E12,102
4.585229010791304E12,103
4.543796646926967E12,104
4.636217034870203E12,105
4.467673048007269E12,106
4.392081264653051E12,107
4.472881222957582E12,108
4.427659691341548E12,109
4.3138169342547334E12,110
4.271440592866144E12,111
4.1951041126413823E12,112
4.149703256970199E12,113
4.0900482039626006E12,114
4.084355812266078E12,115
4.1146624979547544E12,116
4.286863447431543E12,117
4.1411627182774956E12,118
3.98657466521157E12,119
4.0278844545671963E12,120
4.048355509948057E12,121
3.9369334555145967E12,122
3.9317132210362334E12,123
3.8071174422834385E12,124
3.624140790201295E12,125
3.727546768234236E12,126
3.6668652848370664E12,127
3.572088288509983E12,128
3.585544911279087E12,129
3.473806630946411E12,130
3.5481994218323555E12,131
3.44479805686918E12,132
3.584076554554685E12,133
3.4431393117129395E12,134
3.382332432734201E12,135
3.4930316160012188E12,136
3.5028954002147007E12,137
3.272715766523497E12,138
3.236039976922068E12,139
3.1876862706973037E12,140
3.196997664334266E12,141
3.2062766489083506E12,142
3.0279887023430645E12,143
3.129819200778418E12,144
3.19608618776174E12,145
3.0190025338778853E12,146
3.058696176993579E12,147
2.979402246963043E12,148
3.0025687682106514E12,149
2.973298707507278E12,150
2.958761450930784E12,151
2.91876315210303E12,152
2.9070861839864487E12,153
3.0014089016450566E12,154
2.8331749324598066E12,155
2.9112219875456045E12,156
2.892849480705706E12,157
2.8203323643844824E12,158
2.7532705509200684E12,159
2.729771810465138E12,160
2.7202267715942427E12,161
2.7329858143106123E12,162
2.764174167720726E12,163
2.7239062653021387E12,164
2.735759651480057E12,165
2.6061891727146895E12,166
2.6560745183025576E12,167
2.601044016911197E12,168
2.560675051623284E12,169
2.5814564553526553E12,170
2.57263801623263E12,171
2.5735806809771357E12,172
2.45303840529932E12,173
2.5715070735501777E12,174
2.4493735030641206E12,175
2.4100993814679897E12,176
2.485849912509997E12,177
2.393058634329578E12,178
2.474504700281303E12,179
2.4079894087694E12,180
2.3783904042487476E12,181
2.360258463045361E12,182
2.3760428583213247E12,183
2.3713328975939873E12,184
2.338750149238213E12,185
2.2527259742900205E12,186
2.285001053936838E12,187
2.295753631917321E12,188
2.227265454037694E12,189
2.317217542844523E12,190
2.1945016614965618E12,191
2.1915438491144226E12,192
2.1533210546851638E12,193
2.167240822882887E12,194
2.14232906323478E12,195
2.1464138583181384E12,196
2.1857660710801282E12,197
2.1780913390957927E12,198
