X,Y,prediction
382530,6675986,1
382573,6675842,1
382525,6675839,1
382402,6675914,1
382169,6675919,1
382061,6675910,1
381898,6675883,1
380067,6676482,1
376070,6676456,1
374605,6676127,1
361748,6682692,1
360823,6683566,1
358422,6685545,1
355827,6686776,1
353487,6687108,1
352927,6687018,1
350564,6687815,1
350469,6687881,1
350448,6687870,1
349069,6688266,1
347651,6688082,1
319901,6697922,1
272971,6706211,1
259442,6708301,1
258373,6708732,1
247525,6707405,1
247109,6707468,1
246915,6707494,1
241526,6710691,1
241497,6710738,1
353353,6689804,1
353055,6690392,1
352033,6695767,1
353069,6698881,1
353317,6700263,1
353510,6701224,1
353229,6702166,1
353229,6702166,1
350634,6709368,1
350290,6710060,1
348247,6714500,1
347986,6714770,1
329259,6727237,1
322643,6737319,1
320967,6739412,1
320236,6740361,1
314538,6747889,1
310406,6752361,1
307869,6755745,1
297753,6765578,1
296357,6765814,1
293040,6767279,1
283059,6774436,2
278534,6779323,2
275885,6782370,2
275220,6783050,2
267464,6789359,2
251209,6797595,2
247773,6799941,2
247254,6800154,2
243707,6802708,2
238513,6807289,2
233407,6812098,2
228615,6818871,2
228594,6818900,2
228530,6818993,2
228423,6819147,2
217642,6831157,2
214224,6834414,2
210938,6838562,2
209659,6840031,2
383608,6679674,1
383330,6680362,1
382991,6681161,1
382972,6681205,1
382652,6681925,1
382448,6682823,1
382164,6684211,1
380990,6687186,1
380900,6687943,1
380815,6688148,1
380766,6688271,1
380380,6688964,1
380315,6689073,1
379812,6689936,1
379583,6690843,1
379149,6692304,1
379122,6692683,1
379568,6696326,1
381786,6706457,1
379374,6719684,1
376405,6733097,1
376073,6734463,1
373774,6743525,1
372004,6747020,1
368140,6752040,1
368069,6752211,1
363787,6760744,1
362292,6765155,1
359661,6768286,1
349296,6775202,1
346333,6777931,1
342106,6781889,1
341400,6782099,1
336112,6784920,1
330420,6789281,1
330365,6794497,2
328345,6806177,2
328417,6806408,2
327340,6812683,2
327318,6813448,2
327114,6813780,2
327351,6816350,2
327364,6816386,2
327684,6817474,2
327463,6818581,2
327198,6818491,2
325290,6818811,2
321273,6817463,2
318891,6819594,2
317483,6828333,2
316518,6829869,2
297984,6840728,2
296830,6842809,2
294041,6851955,2
293296,6852492,2
293096,6852635,2
285905,6863669,2
289796,6874911,2
292403,6892808,2
282664,6927594,2
279951,6938147,2
259170,6971683,2
235730,6999165,2
234879,6999610,2
233224,7001978,2
391723,6679705,1
392030,6679930,1
393050,6681379,1
393132,6681582,1
393734,6682696,1
394587,6684676,1
394885,6686702,1
396118,6693591,1
396868,6702117,1
397752,6706042,1
399924,6712951,1
400008,6713133,1
404408,6719833,1
407626,6724772,1
408656,6726227,1
409944,6727333,1
411226,6728288,1
416413,6737563,1
416811,6738324,1
418004,6741128,1
418986,6742699,1
419014,6742759,1
421672,6747519,1
422620,6749363,1
422739,6749652,1
431056,6760534,1
431313,6761126,1
436593,6765251,1
441308,6774673,1
441617,6775279,1
442009,6775928,1
450067,6794241,1
449298,6797087,1
449360,6806336,1
448178,6809905,1
446774,6811786,1
446474,6820455,1
447089,6821728,1
447114,6821832,1
447417,6830817,1
448449,6834948,1
450215,6841474,1
450878,6842776,1
452538,6857056,2
450152,6877216,2
449803,6882712,2
447009,6885871,2
442397,6898837,2
442608,6900849,2
441556,6902060,2
441520,6902083,2
441073,6901735,2
437584,6901552,2
437115,6901549,2
436160,6902654,2
434159,6904526,2
433629,6907144,2
433276,6908763,2
432973,6912095,2
432849,6913392,2
432842,6913460,2
432924,6917049,2
433134,6918007,2
433118,6918286,2
433001,6918890,2
431853,6929278,2
432009,6935839,2
434064,6947110,2
437221,6957122,2
440382,6985385,0
439897,6990519,0
440460,6991284,0
436953,7004921,0
434390,7008312,0
430281,7023901,0
429678,7028498,0
433452,7040620,0
437359,7044956,0
447801,7069319,0
447997,7069778,0
439399,7094766,0
439107,7097498,0
441405,7105340,0
441578,7112250,0
443205,7121726,0
445882,7136104,0
436778,7160916,0
436666,7162366,0
436481,7162941,0
431832,7179559,0
429052,7190353,0
429105,7191525,0
430806,7200750,0
430806,7200750,0
430615,7203456,0
429988,7204708,0
429520,7208772,0
429545,7208951,0
429664,7212272,0
428635,7213401,0
428165,7213855,0
426433,7219946,0
424581,7236163,0
423592,7239584,0
424424,7246302,0
425104,7256038,0
420908,7266241,0
414066,7279728,0
413402,7280458,0
411591,7283182,0
402991,7285289,0
392764,7288496,0
390255,7290572,0
388785,7295353,0
388660,7296595,0
385547,7302374,0
395381,7321596,0
408352,7337809,0
409969,7338369,0
415785,7339619,0
427681,7362523,0
453210,7383411,0
464632,7394875,0
464219,7418848,0
465229,7423081,0
486192,7460674,0
486227,7461059,0
486187,7466679,0
482675,7474371,0
487610,7492893,0
488934,7497821,0
518728,7597820,0
522078,7614745,0
505149,7640832,0
508951,7669600,0
452047,6797426,1
452641,6797766,1
453998,6798528,1
483655,6812632,1
509887,6835603,1
510375,6835886,1
510494,6835968,1
520828,6841305,1
524978,6843176,1
526894,6844432,1
527509,6845056,1
533683,6855235,1
542341,6864920,1
542576,6882216,1
543756,6887882,1
544702,6896775,2
544996,6904064,0
544370,6909026,0
542402,6921020,0
531336,6945251,0
529834,6960117,0
531144,6965861,0
531095,6966077,0
531473,6968696,0
534113,6979943,0
535828,6984762,0
535204,6985567,0
534932,6985762,0
533016,6993933,0
530611,7002059,0
525433,7011185,0
523175,7015964,0
513906,7040298,0
512248,7044408,0
518694,7067670,0
520762,7078649,0
520149,7096864,0
520561,7097429,0
526822,7116393,0
538486,7123164,0
538494,7123171,0
548868,7130924,0
551249,7133598,0
551290,7133633,0
564042,7160897,0
577937,7177467,0
590552,7197214,0
590544,7197220,0
590977,7225625,0
590978,7226507,0
586851,7269830,0
591463,7277531,0
600399,7293401,0
597121,7327901,0
597481,7331624,0
595835,7337566,0
523530,7399135,0
521154,7399729,0
520928,7399766,0
502409,7469364,0
451922,6719335,1
459912,6727922,1
472284,6738573,1
472670,6739264,1
474344,6742582,1
481378,6748868,1
484181,6749557,1
484292,6749595,1
484943,6749813,1
491510,6750146,1
491851,6750183,1
519657,6753222,1
524231,6753581,1
529018,6754095,1
549803,6762130,1
551159,6763478,1
554354,6765197,1
559461,6767085,1
562842,6767982,1
571304,6771924,1
580054,6776786,1
593626,6784565,1
639967,6840425,1
643951,6854482,1
643781,6857491,1
661968,6908309,0
662019,6908626,0
642257,6946125,0
642401,6946526,0
645995,6961285,0
643825,6978887,0
641362,6985210,0
629187,7002602,0
628784,7003047,0
588537,7063624,0
571678,7083594,0
564491,7101004,0
564340,7101434,0
536220,7119629,0
401166,6682604,1
404339,6683458,1
404345,6683457,1
412303,6687596,1
420787,6693508,1
432192,6699740,1
433962,6700103,1
438380,6705555,1
443290,6706610,1
486684,6707522,1
492205,6706851,1
493432,6707162,1
495696,6708393,1
506522,6714969,1
510604,6718196,1
517576,6714649,1
520114,6714848,1
524100,6714325,1
524161,6714334,1
529762,6714777,1
530572,6714909,1
542079,6717777,1
237679,6711853,1
234343,6716917,1
234044,6717783,1
233884,6718248,1
233882,6718253,1
231929,6724285,1
230758,6727257,1
229684,6730909,1
228767,6735106,1
227898,6736341,1
226572,6738109,1
225738,6739896,1
222715,6745909,2
219839,6752198,2
217670,6755827,2
214598,6758464,2
214494,6758607,2
208277,6766629,2
208158,6766865,2
207545,6771209,2
207434,6772928,2
207367,6773219,2
206470,6775742,2
206272,6776752,2
205301,6779106,2
204465,6783076,2
213094,6794536,2
216632,6798592,2
216435,6802059,2
214384,6811370,2
215782,6817476,2
219423,6822174,2
220315,6828920,2
224425,6835443,2
223861,6839568,2
223221,6844681,2
221466,6851765,2
221417,6854947,2
219906,6860012,2
217517,6874018,2
215127,6908554,2
213477,6916243,2
212168,6921979,2
212046,6933554,2
230059,6978524,2
231345,6982642,2
231426,6982872,2
230801,7006725,2
230863,7009171,2
231030,7009005,2
238000,7012946,2
244703,7013753,2
245222,7013616,2
246818,7013173,2
249569,7013668,2
259543,7018810,2
262899,7022162,2
275584,7039458,2
278886,7042598,2
287147,7054564,2
289785,7059030,2
296169,7063678,2
300358,7069206,2
302133,7071516,0
303520,7073764,0
303885,7074802,0
304202,7076068,0
309743,7083968,0
309766,7083978,0
310471,7083884,0
312791,7085760,0
313289,7085913,0
320246,7087161,0
320280,7087201,0
326123,7095351,0
330639,7102280,0
336483,7107781,0
338608,7115373,0
350405,7128674,0
357664,7143699,0
367488,7150556,0
370182,7153827,0
382923,7175656,0
404575,7179007,0
415240,7183471,0
221479,6853350,2
242559,6719710,1
244449,6720981,1
250832,6724989,1
252856,6726756,1
256273,6730031,1
255027,6728671,1
255694,6729295,1
256715,6730821,1
257524,6731777,1
260257,6732817,1
264904,6736254,1
269187,6738399,1
275192,6745215,1
275439,6745410,1
279116,6748548,1
282078,6750579,1
292792,6759129,1
293371,6759409,1
308822,6767648,1
312255,6774994,1
318882,6779922,1
329827,6789417,1
336519,6824780,2
342554,6826893,2
344624,6827617,2
351350,6837007,2
355881,6840220,2
359623,6841871,2
365297,6844122,2
394283,6854526,2
395526,6855476,2
401098,6857600,2
402681,6858529,2
409684,6862760,2
410827,6864168,2
417563,6873994,2
422082,6875126,2
427141,6882978,2
427458,6884387,2
427477,6884440,2
427986,6885097,2
429956,6888322,2
430699,6890562,2
430927,6891398,2
431190,6892787,2
431244,6894435,2
431275,6894662,2
431567,6895336,2
433778,6899881,2
434784,6901111,2
442863,6900311,2
