sep=,
dist,ind
3.104554498948025E9,0
2.606993579882087E9,1
2.21252376951339E9,2
2.210496818973702E9,3
1.6160459588842382E9,4
1.4862138181572635E9,5
1.3922441685323427E9,6
1.2843409982883308E9,7
1.1528165206504455E9,8
1.0851736982498229E9,9
9.88935931762264E8,10
9.677987598854343E8,11
9.155605726670268E8,12
9.207207340659955E8,13
8.441101677689795E8,14
7.927928983981897E8,15
8.715319591041834E8,16
7.738668330925777E8,17
7.316834726472793E8,18
7.015233083624616E8,19
7.298207617766678E8,20
6.578863322385855E8,21
6.80432514362296E8,22
6.426461941455443E8,23
6.700508765004494E8,24
6.166264365337789E8,25
6.375823095694222E8,26
5.534387479950062E8,27
5.621646341901313E8,28
