dist,ind
4.978413176072001E14,0
3.823996158830166E14,1
2.5314796174090462E14,2
2.234822865555551E14,3
1.45961076068326E14,4
1.1990263147917645E14,5
1.112462766159733E14,6
9.474113151035675E13,7
7.898472978844248E13,8
7.092216087777294E13,9
6.141586326598909E13,10
5.627521125915253E13,11
5.059853678469628E13,12
4.946111950289549E13,13
4.221782536337926E13,14
4.045477649013212E13,15
4.253239319052084E13,16
3.836831270700792E13,17
3.383054487735372E13,18
3.2560844428879906E13,19
3.306767026251752E13,20
2.844227107752327E13,21
2.7945805448694023E13,22
2.6227208518625664E13,23
2.629271430158702E13,24
2.467714107155764E13,25
2.520483016724818E13,26
2.0476318932684977E13,27
2.031160717291117E13,28
2.0153763370418375E13,29
1.9610037482352168E13,30
1.7496016598014918E13,31
1.689902071459239E13,32
1.7537873867809832E13,33
1.688828626249848E13,34
1.548478333814739E13,35
1.4977924684578766E13,36
1.5267188853480322E13,37
1.4781610335935168E13,38
1.354506069310098E13,39
1.4416381309707508E13,40
1.297758359313328E13,41
1.2941258720998828E13,42
1.2164414803950049E13,43
1.1996788871313475E13,44
1.2241736876033127E13,45
1.1564346483612203E13,46
1.1082079829339162E13,47
1.080913456226978E13,48
1.0688138390482105E13,49
1.079167239516913E13,50
1.0157638547632465E13,51
1.068107340876975E13,52
1.0618772006393777E13,53
9.358323212370846E12,54
9.089071534130957E12,55
9.282407392466262E12,56
9.315661439346828E12,57
8.816939673699168E12,58
8.449845729113101E12,59
8.689276365447064E12,60
9.002679882715426E12,61
8.155680006683447E12,62
8.07930668467867E12,63
8.439152183192766E12,64
8.102215043120815E12,65
7.764916425976328E12,66
7.220725323986439E12,67
7.215707874186622E12,68
7.201934536381711E12,69
6.99304225791369E12,70
7.022420398712311E12,71
6.895953094967E12,72
6.782317396680613E12,73
6.677753459298459E12,74
6.778269032556503E12,75
6.522858544914213E12,76
6.677922698883783E12,77
6.363254847154428E12,78
6.194661258943332E12,79
6.146556650743678E12,80
6.002633739196474E12,81
5.927356072389097E12,82
5.901710210754295E12,83
5.9901537979524795E12,84
5.901644471820587E12,85
5.722623454121268E12,86
5.626133543821979E12,87
5.816620211918646E12,88
5.4904221359387E12,89
5.315804716859959E12,90
5.236968641553309E12,91
5.122862983688735E12,92
5.10122188125807E12,93
5.142659605812266E12,94
5.10231264522287E12,95
5.113256404574129E12,96
5.129084123514494E12,97
5.017624510070196E12,98
4.95785417411426E12,99
4.700025976379077E12,100
4.834444116782428E12,101
4.583402066846727E12,102
4.698446051186951E12,103
4.534885297183188E12,104
4.682049273190232E12,105
4.53298199524658E12,106
4.3723277044569595E12,107
4.53056605434679E12,108
4.26310042769073E12,109
4.2509585188958433E12,110
4.2297272479578467E12,111
4.2452640638110566E12,112
4.131583819373766E12,113
4.1547995205203447E12,114
4.023658939180973E12,115
4.048322664025247E12,116
3.9941514493212397E12,117
4.00524126947574E12,118
3.931478777293449E12,119
3.9092133170658247E12,120
3.7722306203750537E12,121
3.838569791722032E12,122
3.7934675622944717E12,123
3.7470573837836016E12,124
3.6714954119485415E12,125
3.7934406364500894E12,126
3.6498031476493667E12,127
3.5773595069455513E12,128
3.5223674642540083E12,129
3.5283062068075996E12,130
3.463579057084879E12,131
3.5291209025740366E12,132
3.345966760321294E12,133
3.337116028085378E12,134
3.29744230910912E12,135
3.337506017779802E12,136
3.2922727407820366E12,137
3.2333269447509062E12,138
3.2684673093094756E12,139
3.133157809391282E12,140
3.161212204250341E12,141
3.175739045108993E12,142
3.1761110716450576E12,143
3.124690287392885E12,144
3.116559591927082E12,145
3.067100412023843E12,146
2.959262766604758E12,147
2.9751302461728525E12,148
2.966409582243159E12,149
2.9721168587142046E12,150
2.9029627107012104E12,151
3.014231551549586E12,152
3.0563577697541567E12,153
2.9044775730619224E12,154
2.887913400605202E12,155
2.923455488242694E12,156
2.835496923585948E12,157
2.8169409624603047E12,158
2.8343269288943145E12,159
2.756373224741631E12,160
2.727615403810371E12,161
2.7036268675352593E12,162
2.768025011225345E12,163
2.6918760416240547E12,164
2.694498884575885E12,165
2.6690742636743457E12,166
2.650322748991248E12,167
2.668517009647754E12,168
2.590649274028723E12,169
2.578942014046033E12,170
2.530396810210108E12,171
2.5168229399365493E12,172
2.528922553816874E12,173
2.4376440643602803E12,174
2.5030359956692876E12,175
2.4958533401167236E12,176
2.5395039463953154E12,177
2.3871773159270703E12,178
2.3662149621123745E12,179
2.3938495219738516E12,180
2.4285719635111963E12,181
2.316748450622675E12,182
2.388609553001832E12,183
2.355483487439198E12,184
2.3349870683098135E12,185
2.436660013336838E12,186
2.386916235806996E12,187
2.3143140853387925E12,188
2.2432239175013247E12,189
2.258631741654597E12,190
2.178115424219702E12,191
2.3032214315268965E12,192
2.172092027369627E12,193
2.2132417124218374E12,194
2.1762104787979065E12,195
2.1614213727783613E12,196
2.2153029060001753E12,197
2.105519526941401E12,198
