dist,ind
3.104554498948025E9,0
9.88935931762264E8,1
7.298207617766678E8,2
5.576369523532642E8,3
4.564951785462027E8,4
4.0343660748099256E8,5
3.6226985458025396E8,6
3.217776817085248E8,7
2.9927260533705384E8,8
2.768972026359843E8,9
2.6164165262367484E8,10
2.5209029566116774E8,11
2.3878354418261012E8,12
2.260361474959807E8,13
2.1533231123401564E8,14
2.1255730563833827E8,15
1.978730950885434E8,16
1.9440026930592966E8,17
1.863573036275689E8,18
1.8220126430507344E8,19
1.7438106946160686E8,20
1.6856906803158942E8,21
1.6289807314288917E8,22
1.5793230624190986E8,23
1.604517613517534E8,24
1.525020495554721E8,25
1.4882492196340767E8,26
1.4627581288394815E8,27
1.4201026538214052E8,28
1.3831256345390835E8,29
1.3888769003779578E8,30
1.3357787525633961E8,31
1.3235728919103467E8,32
1.3096400316621149E8,33
1.269330861203019E8,34
1.2581053486838561E8,35
1.2174107025369748E8,36
1.2085532301699445E8,37
1.1918996278935418E8,38
1.1857161772201219E8,39
1.1673077874955434E8,40
1.1335951861034204E8,41
1.1077330623264594E8,42
1.102006048437568E8,43
1.0764744151888642E8,44
1.07075319297751E8,45
1.0693534190960546E8,46
1.0469764485606588E8,47
1.0229385128052354E8,48
1.0226341773100837E8,49
1.0025024354653403E8,50
9.836547537591924E7,51
9.72283933170751E7,52
9.72751143903002E7,53
9.519542325688574E7,54
9.445355542566371E7,55
9.408101573228289E7,56
9.234904625831509E7,57
9.121944741622068E7,58
9.102341879770836E7,59
8.983165583692928E7,60
8.90724556968061E7,61
8.69485331336604E7,62
8.7755130681989E7,63
8.567625442804685E7,64
8.587283503079005E7,65
8.352205748922302E7,66
8.295458067076556E7,67
8.289638406361555E7,68
8.226179626722819E7,69
8.076909236491376E7,70
8.144945777724242E7,71
7.963915512350693E7,72
7.968892581271484E7,73
7.815512898604171E7,74
7.681195825279969E7,75
7.69827440537616E7,76
7.69166888812542E7,77
7.596897979707864E7,78
7.494301250970948E7,79
7.336067191769795E7,80
7.350459486414756E7,81
7.302909572064854E7,82
7.247929735787016E7,83
7.085589125039303E7,84
7.109614502016605E7,85
7.032024316825224E7,86
6.981370798490934E7,87
6.971970534640081E7,88
6.913102250131017E7,89
6.876395105024171E7,90
6.904821183145806E7,91
6.803547720133166E7,92
6.7105189665688224E7,93
6.707450267285085E7,94
6.6048604193409935E7,95
6.563527119609078E7,96
6.4958898965819E7,97
6.490524934773978E7,98
6.464364843978719E7,99
