NumOfCluster,Cost
2,4129.3306609833035
12,1305.6555528618924
22,882.5342074448006
32,690.2063168465706
42,573.6686863756663
52,508.3259273162367
62,464.989537331598
72,408.87497006112693
82,386.15638174345634
92,364.57604277997694
102,330.82532009187696
112,311.60799542970295
122,300.7152132395347
132,287.890707593355
142,270.3798181784153
152,263.2674521552722
162,259.5936760731997
172,242.37498852763764
182,243.86615696646987
192,231.68034202638037
202,222.24193587420237
212,214.9600091092135
222,210.58003436584997
232,207.00310469244417
242,201.1213285528083
252,193.13535115655233
262,193.24899646023968
272,189.10733987564873
282,185.12716538703796
292,180.4567329562691
302,178.4660122350217
