dist,ind
4.978413177027729E14,0
6.1415863361498664E13,1
3.3067670357913137E13,2
1.9610037577612547E13,3
1.4416381404886877E13,4
1.0791672490237752E13,5
8.689276460509221E12,6
6.993042352896663E12,7
6.146556745680089E12,8
5.31580481174765E12,9
4.70002607117868E12,10
4.2509586136694854E12,11
3.909213411819379E12,12
3.5283063015296133E12,13
3.1331579040798315E12,14
2.9721169533475347E12,15
2.75637331942429E12,16
2.5789421085915386E12,17
2.393849616484247E12,18
2.25863183603534E12,19
2.1335721769224192E12,20
1.9489761738343389E12,21
1.856953674143587E12,22
1.784152754221896E12,23
1.7354362315462346E12,24
1.623705268150436E12,25
1.5865459854557593E12,26
1.4866783108027476E12,27
1.4296189924806465E12,28
1.3718220146672969E12,29
1.3457546808585403E12,30
1.2370270836009888E12,31
1.2120466796335205E12,32
1.174498225091893E12,33
1.1347228487766587E12,34
1.1158488522967554E12,35
1.0634923067685327E12,36
9.878198935998784E11,37
9.582268151427052E11,38
9.621648180729998E11,39
9.366796182582726E11,40
8.965813849217372E11,41
8.764253159613337E11,42
8.338913849832797E11,43
8.270817811568718E11,44
7.990045461627471E11,45
7.732491557869526E11,46
7.498181912903448E11,47
7.58279991640907E11,48
7.312998616768473E11,49
6.946376424068717E11,50
6.819719646824666E11,51
6.788386755579698E11,52
6.515810018729761E11,53
6.415449281289137E11,54
6.243205589425536E11,55
6.154296065638824E11,56
5.99121751443364E11,57
5.865134578634911E11,58
5.735639552021309E11,59
5.571333946877262E11,60
5.571186631800542E11,61
5.378718924971081E11,62
5.262592899729679E11,63
5.2873870584155786E11,64
5.114363930658654E11,65
4.938498608283335E11,66
5.016263456705316E11,67
4.806626720443014E11,68
4.728556630694763E11,69
4.574218704525791E11,70
4.54320396340831E11,71
4.5145343268960077E11,72
4.352176651745464E11,73
4.324069122589205E11,74
4.1763385396747705E11,75
4.156309967452622E11,76
4.0928049270301135E11,77
3.992336519935288E11,78
3.967562757265636E11,79
3.8667624495498425E11,80
3.886087750847622E11,81
3.7018458678111584E11,82
3.638159924996844E11,83
3.5765041354532263E11,84
3.469880322791305E11,85
3.5076495640637415E11,86
3.4069631461418933E11,87
3.401792787526699E11,88
3.32130873519783E11,89
3.279130084588341E11,90
3.313631679888452E11,91
3.214731223525822E11,92
3.1355693127179614E11,93
3.1087101108315875E11,94
3.0880932450579443E11,95
3.005102546752258E11,96
2.942924283567334E11,97
2.869410570330851E11,98
2.846592967807806E11,99
