dist,ind
4.978413177027729E14,0
3.823996159785754E14,1
2.531479618364557E14,2
2.2348228665108556E14,3
1.4596107616385025E14,4
1.1990263157470569E14,5
1.1124627671147372E14,6
9.47411316058401E13,7
7.8984729883969E13,8
7.09221609733119E13,9
6.1415863361498664E13,10
5.627521135465534E13,11
5.059853688016875E13,12
4.94611195983501E13,13
4.2217825458837664E13,14
4.0454776585589336E13,15
4.25323932859102E13,16
3.836831280235574E13,17
3.3830544972766906E13,18
3.2560844524216938E13,19
3.3067670357913137E13,20
2.8442271172836062E13,21
2.794580554407115E13,22
2.622720861401396E13,23
2.629271439696841E13,24
2.4677141166842938E13,25
2.5204830262609332E13,26
2.0476319027935656E13,27
2.03116072682206E13,28
2.0153763465660844E13,29
1.9610037577612547E13,30
1.7496016693258219E13,31
1.6899020809815879E13,32
1.7537873963032852E13,33
1.6888286357712922E13,34
1.5484783433325775E13,35
1.4977924779778188E13,36
1.5267188948664764E13,37
1.4781610431162314E13,38
1.3545060788248652E13,39
1.4416381404886877E13,40
1.2977583688338023E13,41
1.2941258816175287E13,42
1.216441489911748E13,43
1.1996788966490537E13,44
1.224173697118349E13,45
1.156434657875314E13,46
1.1082079924421121E13,47
1.08091346574014E13,48
1.0688138485586998E13,49
1.0791672490237752E13,50
1.0157638642749953E13,51
1.0681073503865332E13,52
1.0618772101502078E13,53
9.358323307475088E12,54
9.089071629205742E12,55
9.282407487574162E12,56
9.315661534409266E12,57
8.816939768772955E12,58
8.449845824134242E12,59
8.689276460509221E12,60
9.002679977763812E12,61
8.155680101717245E12,62
8.079306779704604E12,63
8.439152278274723E12,64
8.102215138173032E12,65
7.76491652095115E12,66
7.220725418917627E12,67
7.215707969183666E12,68
7.201934631413202E12,69
6.993042352896663E12,70
7.022420493697374E12,71
6.895953189980186E12,72
6.782317491660041E12,73
6.677753554295166E12,74
6.778269127512496E12,75
6.52285863989811E12,76
6.677922793801813E12,77
6.363254942139145E12,78
6.194661353815573E12,79
6.146556745680089E12,80
6.002633834149121E12,81
5.927356167330762E12,82
5.901710305676446E12,83
5.990153892857972E12,84
5.901644566757237E12,85
5.722623549076959E12,86
5.626133638714239E12,87
5.816620306873982E12,88
5.490422230883422E12,89
5.31580481174765E12,90
5.236968736391584E12,91
5.122863078577855E12,92
5.101221976118315E12,93
5.142659700674433E12,94
5.102312740149548E12,95
5.113256499356127E12,96
5.129084218356465E12,97
5.01762460492625E12,98
4.957854268904822E12,99
4.70002607117868E12,100
4.834444211657539E12,101
4.583402161711791E12,102
4.698446145973807E12,103
4.534885392008445E12,104
4.682049368043705E12,105
4.532982090061776E12,106
4.372327799295025E12,107
4.530566149178066E12,108
4.263100522467502E12,109
4.2509586136694854E12,110
4.229727342756081E12,111
4.2452641586482646E12,112
4.131583914107457E12,113
4.154799615299442E12,114
4.0236590339507495E12,115
4.0483227588333296E12,116
3.994151544097539E12,117
4.0052413642704683E12,118
3.9314788720352764E12,119
3.909213411819379E12,120
3.7722307151173994E12,121
3.8385698864795376E12,122
3.7934676571053086E12,123
3.7470574785971484E12,124
3.671495506735875E12,125
3.7934407311529395E12,126
3.649803242342867E12,127
3.577359601734721E12,128
3.522367558999906E12,129
3.5283063015296133E12,130
3.4635791516846997E12,131
3.5291209972954375E12,132
3.3459668550164834E12,133
3.3371161227887812E12,134
3.2974424038588086E12,135
3.3375061124208237E12,136
3.2922728354540547E12,137
3.233327039448928E12,138
3.268467404001589E12,139
3.1331579040798315E12,140
3.1612122989070405E12,141
3.175739139794212E12,142
3.17611116631152E12,143
3.1246903820074897E12,144
3.116559686532606E12,145
3.0671005066324976E12,146
2.9592628612810127E12,147
2.975130340835584E12,148
2.9664096768779287E12,149
2.9721169533475347E12,150
2.90296280539245E12,151
3.0142316461838994E12,152
3.056357864350142E12,153
2.9044776676765664E12,154
2.887913495218492E12,155
2.9234555828378955E12,156
2.835497018264418E12,157
2.81694105697601E12,158
2.83432702344006E12,159
2.75637331942429E12,160
2.727615498324423E12,161
2.7036269621532324E12,162
2.768025105810542E12,163
2.6918761362385283E12,164
2.6944989791481904E12,165
2.6690743582834414E12,166
2.6503228436052275E12,167
2.668517104238395E12,168
2.590649368567227E12,169
2.5789421085915386E12,170
2.530396904758347E12,171
2.5168230345422456E12,172
2.528922648450614E12,173
2.4376441589414795E12,174
2.5030360901758228E12,175
2.495853434668129E12,176
2.5395040408578857E12,177
2.3871774104073325E12,178
2.366215056561741E12,179
2.393849616484247E12,180
2.428572058046153E12,181
2.3167485451825034E12,182
2.3886096475466123E12,183
2.3554835819666587E12,184
2.3349871627623003E12,185
2.4366601078244746E12,186
2.386916330323574E12,187
2.314314179814291E12,188
2.2432240119476567E12,189
2.25863183603534E12,190
2.1781155186683872E12,191
2.3032215259550835E12,192
2.172092121791248E12,193
2.21324180683338E12,194
2.1762105732073494E12,195
2.1614214672143987E12,196
2.2153030002334404E12,197
2.1055196213439734E12,198
