X,Y,dow
382530,6675986,5.0
382573,6675842,5.0
382525,6675839,5.0
382402,6675914,5.0
382169,6675919,5.0
382061,6675910,5.0
381898,6675883,5.0
380067,6676482,5.0
376070,6676456,5.0
374605,6676127,5.0
361748,6682692,5.0
360823,6683566,5.0
358422,6685545,5.0
355827,6686776,5.0
353487,6687108,5.0
352927,6687018,5.0
350564,6687815,5.0
350469,6687881,5.0
350448,6687870,5.0
349069,6688266,5.0
347651,6688082,5.0
319901,6697922,5.0
272971,6706211,5.0
259442,6708301,5.0
258373,6708732,5.0
247525,6707405,5.0
247109,6707468,5.0
246915,6707494,5.0
241526,6710691,5.0
241497,6710738,5.0
353353,6689804,5.0
353055,6690392,5.0
352033,6695767,5.0
353069,6698881,5.0
353317,6700263,5.0
353510,6701224,5.0
353229,6702166,5.0
353229,6702166,5.0
350634,6709368,5.0
350290,6710060,5.0
348247,6714500,5.0
347986,6714770,5.0
329259,6727237,5.0
322643,6737319,5.0
320967,6739412,5.0
320236,6740361,5.0
314538,6747889,5.0
310406,6752361,5.0
307869,6755745,5.0
297753,6765578,5.0
296357,6765814,5.0
293040,6767279,5.0
283059,6774436,5.0
278534,6779323,5.0
275885,6782370,5.0
275220,6783050,5.0
267464,6789359,5.0
251209,6797595,5.0
247773,6799941,5.0
247254,6800154,5.0
243707,6802708,5.0
238513,6807289,5.0
233407,6812098,5.0
228615,6818871,5.0
228594,6818900,5.0
228530,6818993,5.0
228423,6819147,5.0
217642,6831157,5.0
214224,6834414,5.0
210938,6838562,5.0
209659,6840031,5.0
383608,6679674,5.0
383330,6680362,5.0
382991,6681161,5.0
382972,6681205,5.0
382652,6681925,5.0
382448,6682823,5.0
382164,6684211,5.0
380990,6687186,5.0
380900,6687943,5.0
380815,6688148,5.0
380766,6688271,5.0
380380,6688964,5.0
380315,6689073,5.0
379812,6689936,5.0
379583,6690843,5.0
379149,6692304,5.0
379122,6692683,5.0
379568,6696326,5.0
381786,6706457,5.0
379374,6719684,5.0
376405,6733097,5.0
376073,6734463,5.0
373774,6743525,5.0
372004,6747020,5.0
368140,6752040,5.0
368069,6752211,5.0
363787,6760744,5.0
362292,6765155,5.0
359661,6768286,5.0
349296,6775202,5.0
346333,6777931,5.0
342106,6781889,5.0
341400,6782099,5.0
336112,6784920,5.0
330420,6789281,5.0
330365,6794497,5.0
328345,6806177,5.0
328417,6806408,5.0
327340,6812683,5.0
327318,6813448,5.0
327114,6813780,5.0
327351,6816350,5.0
327364,6816386,5.0
327684,6817474,5.0
327463,6818581,5.0
327198,6818491,5.0
325290,6818811,5.0
321273,6817463,5.0
318891,6819594,5.0
317483,6828333,5.0
316518,6829869,5.0
297984,6840728,5.0
296830,6842809,5.0
294041,6851955,5.0
293296,6852492,5.0
293096,6852635,5.0
285905,6863669,5.0
289796,6874911,5.0
292403,6892808,5.0
282664,6927594,5.0
279951,6938147,5.0
259170,6971683,5.0
235730,6999165,5.0
234879,6999610,5.0
233224,7001978,5.0
391723,6679705,5.0
392030,6679930,5.0
393050,6681379,5.0
393132,6681582,5.0
393734,6682696,5.0
394587,6684676,5.0
394885,6686702,5.0
396118,6693591,5.0
396868,6702117,5.0
397752,6706042,5.0
399924,6712951,5.0
400008,6713133,5.0
404408,6719833,5.0
407626,6724772,5.0
408656,6726227,5.0
409944,6727333,5.0
411226,6728288,5.0
416413,6737563,5.0
416811,6738324,5.0
418004,6741128,5.0
418986,6742699,5.0
419014,6742759,5.0
421672,6747519,5.0
422620,6749363,5.0
422739,6749652,5.0
431056,6760534,5.0
431313,6761126,5.0
436593,6765251,5.0
441308,6774673,5.0
441617,6775279,5.0
442009,6775928,5.0
450067,6794241,5.0
449298,6797087,5.0
449360,6806336,5.0
448178,6809905,5.0
446774,6811786,5.0
446474,6820455,5.0
447089,6821728,5.0
447114,6821832,5.0
447417,6830817,5.0
448449,6834948,5.0
450215,6841474,5.0
450878,6842776,5.0
452538,6857056,5.0
450152,6877216,5.0
449803,6882712,5.0
447009,6885871,5.0
442397,6898837,5.0
442608,6900849,5.0
441556,6902060,5.0
441520,6902083,5.0
441073,6901735,5.0
437584,6901552,5.0
437115,6901549,5.0
436160,6902654,5.0
434159,6904526,5.0
433629,6907144,5.0
433276,6908763,5.0
432973,6912095,5.0
432849,6913392,5.0
432842,6913460,5.0
432924,6917049,5.0
433134,6918007,5.0
433118,6918286,5.0
433001,6918890,5.0
431853,6929278,5.0
432009,6935839,5.0
434064,6947110,5.0
437221,6957122,5.0
440382,6985385,5.0
439897,6990519,5.0
440460,6991284,5.0
436953,7004921,5.0
434390,7008312,5.0
430281,7023901,5.0
429678,7028498,5.0
433452,7040620,5.0
437359,7044956,5.0
447801,7069319,5.0
447997,7069778,5.0
439399,7094766,5.0
439107,7097498,5.0
441405,7105340,5.0
441578,7112250,5.0
443205,7121726,5.0
445882,7136104,5.0
436778,7160916,5.0
436666,7162366,5.0
436481,7162941,5.0
431832,7179559,5.0
429052,7190353,5.0
429105,7191525,5.0
430806,7200750,5.0
430806,7200750,5.0
430615,7203456,5.0
429988,7204708,5.0
429520,7208772,5.0
429545,7208951,5.0
429664,7212272,5.0
428635,7213401,5.0
428165,7213855,5.0
426433,7219946,5.0
424581,7236163,5.0
423592,7239584,5.0
424424,7246302,5.0
425104,7256038,5.0
420908,7266241,5.0
414066,7279728,5.0
413402,7280458,5.0
411591,7283182,5.0
402991,7285289,5.0
392764,7288496,5.0
390255,7290572,5.0
388785,7295353,5.0
388660,7296595,5.0
385547,7302374,5.0
395381,7321596,5.0
408352,7337809,5.0
409969,7338369,5.0
415785,7339619,5.0
427681,7362523,5.0
453210,7383411,5.0
464632,7394875,5.0
464219,7418848,5.0
465229,7423081,5.0
486192,7460674,5.0
486227,7461059,5.0
486187,7466679,5.0
482675,7474371,5.0
487610,7492893,5.0
488934,7497821,5.0
518728,7597820,5.0
522078,7614745,5.0
505149,7640832,5.0
508951,7669600,5.0
452047,6797426,5.0
452641,6797766,5.0
453998,6798528,5.0
483655,6812632,5.0
509887,6835603,5.0
510375,6835886,5.0
510494,6835968,5.0
520828,6841305,5.0
524978,6843176,5.0
526894,6844432,5.0
527509,6845056,5.0
533683,6855235,5.0
542341,6864920,5.0
542576,6882216,5.0
543756,6887882,5.0
544702,6896775,5.0
544996,6904064,5.0
544370,6909026,5.0
542402,6921020,5.0
531336,6945251,5.0
529834,6960117,5.0
531144,6965861,5.0
531095,6966077,5.0
531473,6968696,5.0
534113,6979943,5.0
535828,6984762,5.0
535204,6985567,5.0
534932,6985762,5.0
533016,6993933,5.0
530611,7002059,5.0
525433,7011185,5.0
523175,7015964,5.0
513906,7040298,5.0
512248,7044408,5.0
518694,7067670,5.0
520762,7078649,5.0
520149,7096864,5.0
520561,7097429,5.0
526822,7116393,5.0
538486,7123164,5.0
538494,7123171,5.0
548868,7130924,5.0
551249,7133598,5.0
551290,7133633,5.0
564042,7160897,5.0
577937,7177467,5.0
590552,7197214,5.0
590544,7197220,5.0
590977,7225625,5.0
590978,7226507,5.0
586851,7269830,5.0
591463,7277531,5.0
600399,7293401,5.0
597121,7327901,5.0
597481,7331624,5.0
595835,7337566,5.0
523530,7399135,5.0
521154,7399729,5.0
520928,7399766,5.0
502409,7469364,5.0
451922,6719335,5.0
459912,6727922,5.0
472284,6738573,5.0
472670,6739264,5.0
474344,6742582,5.0
481378,6748868,5.0
484181,6749557,5.0
484292,6749595,5.0
484943,6749813,5.0
491510,6750146,5.0
491851,6750183,5.0
519657,6753222,5.0
524231,6753581,5.0
529018,6754095,5.0
549803,6762130,5.0
551159,6763478,5.0
554354,6765197,5.0
559461,6767085,5.0
562842,6767982,5.0
571304,6771924,5.0
580054,6776786,5.0
593626,6784565,5.0
639967,6840425,5.0
643951,6854482,5.0
643781,6857491,5.0
661968,6908309,5.0
662019,6908626,5.0
642257,6946125,5.0
642401,6946526,5.0
645995,6961285,5.0
643825,6978887,5.0
641362,6985210,5.0
629187,7002602,5.0
628784,7003047,5.0
588537,7063624,5.0
571678,7083594,5.0
564491,7101004,5.0
564340,7101434,5.0
536220,7119629,5.0
401166,6682604,5.0
404339,6683458,5.0
404345,6683457,5.0
412303,6687596,5.0
420787,6693508,5.0
432192,6699740,5.0
433962,6700103,5.0
438380,6705555,5.0
443290,6706610,5.0
486684,6707522,5.0
492205,6706851,5.0
493432,6707162,5.0
495696,6708393,5.0
506522,6714969,5.0
510604,6718196,5.0
517576,6714649,5.0
520114,6714848,5.0
524100,6714325,5.0
524161,6714334,5.0
529762,6714777,5.0
530572,6714909,5.0
542079,6717777,5.0
237679,6711853,5.0
234343,6716917,5.0
234044,6717783,5.0
233884,6718248,5.0
233882,6718253,5.0
231929,6724285,5.0
230758,6727257,5.0
229684,6730909,5.0
228767,6735106,5.0
227898,6736341,5.0
226572,6738109,5.0
225738,6739896,5.0
222715,6745909,5.0
219839,6752198,5.0
217670,6755827,5.0
214598,6758464,5.0
214494,6758607,5.0
208277,6766629,5.0
208158,6766865,5.0
207545,6771209,5.0
207434,6772928,5.0
207367,6773219,5.0
206470,6775742,5.0
206272,6776752,5.0
205301,6779106,5.0
204465,6783076,5.0
213094,6794536,5.0
216632,6798592,5.0
216435,6802059,5.0
214384,6811370,5.0
215782,6817476,5.0
219423,6822174,5.0
220315,6828920,5.0
224425,6835443,5.0
223861,6839568,5.0
223221,6844681,5.0
221466,6851765,5.0
221417,6854947,5.0
219906,6860012,5.0
217517,6874018,5.0
215127,6908554,5.0
213477,6916243,5.0
212168,6921979,5.0
212046,6933554,5.0
230059,6978524,5.0
231345,6982642,5.0
231426,6982872,5.0
230801,7006725,5.0
230863,7009171,5.0
231030,7009005,5.0
238000,7012946,5.0
244703,7013753,5.0
245222,7013616,5.0
246818,7013173,5.0
249569,7013668,5.0
259543,7018810,5.0
262899,7022162,5.0
275584,7039458,5.0
278886,7042598,5.0
287147,7054564,5.0
289785,7059030,5.0
296169,7063678,5.0
300358,7069206,5.0
302133,7071516,5.0
303520,7073764,5.0
303885,7074802,5.0
304202,7076068,5.0
309743,7083968,5.0
309766,7083978,5.0
310471,7083884,5.0
312791,7085760,5.0
313289,7085913,5.0
320246,7087161,5.0
320280,7087201,5.0
326123,7095351,5.0
330639,7102280,5.0
