NumOfCluster,Cost
2,26778.02192484884
12,2379.391681140047
22,1256.8236057527497
32,824.1111583353616
42,552.891862271142
52,500.6904696433456
62,370.07794618130407
72,323.7547899962219
82,281.6302510012476
92,243.18266123211535
102,208.22145726741132
112,194.90238091874446
122,180.89789264887068
132,189.48741071753645
142,155.269513946123
152,153.138760591678
162,121.58424141369089
172,141.12234377670742
182,127.06299161960756
192,120.43564391434809
202,106.71685545730496
212,97.15827138332592
222,104.97018777166818
232,92.15442968072541
242,81.95612229943183
252,81.49549701217505
262,77.60182686868238
272,74.01386700307812
282,71.78459517430504
292,72.33696927084205
302,65.73882923461902
